Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2008","2008","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2009","2009","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2010","2010","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2011","2011","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2012","2012","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2013","2013","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2014","2014","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2015","2015","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2016","2016","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","252","Aceite, copra","2017","2017","toneladas","0"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2000","2000","toneladas","485331"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2001","2001","toneladas","484750"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2002","2002","toneladas","413977"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2003","2003","toneladas","417828"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2004","2004","toneladas","453478"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2005","2005","toneladas","381984"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2006","2006","toneladas","433878"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2007","2007","toneladas","370187"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2008","2008","toneladas","347806"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2009","2009","toneladas","386164"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2010","2010","toneladas","436100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2011","2011","toneladas","450200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2012","2012","toneladas","482300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2013","2013","toneladas","441000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2014","2014","toneladas","497500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2015","2015","toneladas","483000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2016","2016","toneladas","421500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2017","2017","toneladas","458800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2018","2018","toneladas","525300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","268","Aceite, girasol","2019","2019","toneladas","493300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2000","2000","toneladas","3400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2001","2001","toneladas","3200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2002","2002","toneladas","2900"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2003","2003","toneladas","1600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2004","2004","toneladas","1400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2005","2005","toneladas","1000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2006","2006","toneladas","800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2007","2007","toneladas","800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2008","2008","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2009","2009","toneladas","700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2010","2010","toneladas","1000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2011","2011","toneladas","1000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2012","2012","toneladas","1300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2013","2013","toneladas","1400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2014","2014","toneladas","1500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2015","2015","toneladas","1400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2016","2016","toneladas","1500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2017","2017","toneladas","1800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2018","2018","toneladas","2000"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","334","Aceite, linaza","2019","2019","toneladas","2100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2000","2000","toneladas","20800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2001","2001","toneladas","15800"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2002","2002","toneladas","16600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2003","2003","toneladas","16700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2004","2004","toneladas","16900"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2005","2005","toneladas","17200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2006","2006","toneladas","17100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2007","2007","toneladas","17400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2008","2008","toneladas","17400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2009","2009","toneladas","18300"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2010","2010","toneladas","19700"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2011","2011","toneladas","18600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2012","2012","toneladas","18100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2013","2013","toneladas","18400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2014","2014","toneladas","18600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2015","2015","toneladas","19900"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2016","2016","toneladas","23200"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2017","2017","toneladas","29400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2018","2018","toneladas","30600"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","60","Aceite, maíz","2019","2019","toneladas","32500"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2000","2000","toneladas","962400"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2001","2001","toneladas","1412100"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2002","2002","toneladas","836902"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2003","2003","toneladas","1449071"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2004","2004","toneladas","1005461"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2005","2005","toneladas","819428"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2006","2006","toneladas","1092602"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2007","2007","toneladas","1192664"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2008","2008","toneladas","1044687"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2009","2009","toneladas","1384383"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2010","2010","toneladas","1395210"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2011","2011","toneladas","1567523"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2012","2012","toneladas","652687"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2013","2013","toneladas","1765248"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2014","2014","toneladas","839788"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","261","Aceite, oliva virgen","2015","2015","toneladas","1390865"
