Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2014","2014","toneladas","3555606"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2015","2015","toneladas","3854658"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2016","2016","toneladas","4181091"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2017","2017","toneladas","4298789"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2018","2018","toneladas","4530480"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2019","2019","toneladas","4641160"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1035","Carne, cerdo","2020","2020","toneladas","5003430"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2000","2000","toneladas","103596"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2001","2001","toneladas","111507"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2002","2002","toneladas","119021"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2003","2003","toneladas","111583"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2004","2004","toneladas","72158"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2005","2005","toneladas","70524"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2006","2006","toneladas","72308"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2007","2007","toneladas","74667"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2008","2008","toneladas","68686"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2009","2009","toneladas","61195"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2010","2010","toneladas","63506"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2011","2011","toneladas","64139"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2012","2012","toneladas","64578"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2013","2013","toneladas","63289"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2014","2014","toneladas","63790"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","1141","Carne, conejo","2015","2015","toneladas","54083"
