Año;Elemento;Código Grupo de Productos;Grupo de Productos;Código Producto;Producto;Valor;Unidad
2014;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1500.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1400.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1500.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;1800.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;334;Aceite, linaza;2000.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;20800.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;15800.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;16600.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;16700.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;16900.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;17200.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;17100.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;17400.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;17400.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;18300.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;19700.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;18600.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;18100.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;18400.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;18600.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;19900.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;23200.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;29400.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;60;Aceite, maíz;30600.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;962400.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1412100.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;836902.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1449071.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1005461.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;819428.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1092602.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1192664.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1044687.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1384383.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1395210.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1567523.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;652687.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1765248.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;839788.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1390865.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1281738.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1238629.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;261;Aceite, oliva virgen;1790309.0;toneladas
2000;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;441200.0;toneladas
2001;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;489000.0;toneladas
2002;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;490300.0;toneladas
2003;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;494000.0;toneladas
2004;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;412900.0;toneladas
2005;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;395800.0;toneladas
2006;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;354400.0;toneladas
2007;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;444300.0;toneladas
2008;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;549500.0;toneladas
2009;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;509700.0;toneladas
2010;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;563300.0;toneladas
2011;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;562300.0;toneladas
2012;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;582800.0;toneladas
2013;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;592000.0;toneladas
2014;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;586600.0;toneladas
2015;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;604000.0;toneladas
2016;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;565900.0;toneladas
2017;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;555500.0;toneladas
2018;Producción;Cultivos Derivados;Cultivos Derivados;237;Aceite, soja;573100.0;toneladas
2000;Producción;1730;Cultivos Oleaginosos Pri;260;Aceitunas, olivas;4943800.0;toneladas
2000;Producción;1732;Cultivos oleaginosos, equivalente aceite;260;Aceitunas, olivas;4943800.0;toneladas
2000;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4943800.0;toneladas
2000;Producción;1714;Cultivos Primarios;260;Aceitunas, olivas;4943800.0;toneladas
