Código Ámbito;Ámbito;Código área (FAO);Área;Código Elemento;Elemento;Código Producto (FAO);Producto;Código año;Año;Unidad;Valor;Grupo productos
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2002;2002;toneladas;413977.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2003;2003;toneladas;417828.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2004;2004;toneladas;453478.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2005;2005;toneladas;381984.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2006;2006;toneladas;433878.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2007;2007;toneladas;370187.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2008;2008;toneladas;347806.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2009;2009;toneladas;386164.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2010;2010;toneladas;436100.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2011;2011;toneladas;450200.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2012;2012;toneladas;482300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2013;2013;toneladas;441000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2014;2014;toneladas;497500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2015;2015;toneladas;483000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2016;2016;toneladas;421500.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2017;2017;toneladas;458800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;268;Aceite, girasol;2018;2018;toneladas;525300.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2000;2000;toneladas;3400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2001;2001;toneladas;3200.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2002;2002;toneladas;2900.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2003;2003;toneladas;1600.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2004;2004;toneladas;1400.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2005;2005;toneladas;1000.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2006;2006;toneladas;800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2007;2007;toneladas;800.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2008;2008;toneladas;700.0;Cultivos y derivados
QCL;Cultivos y productos de ganadería;203;España;5510;Producción;334;Aceite, linaza;2009;2009;toneladas;700.0;Cultivos y derivados
